raMean,decMean,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
356.91222238,-30.8960246,20.464599609375,0.0021699999924749136,20.025100708007812,0.030412999913096428,20.040800094604492,0.023818999528884888
356.95014184,-31.24775883,20.41349983215332,0.09426199644804001,19.9197998046875,0.01696299947798252,19.693899154663086,0.0455470010638237
356.94725255,-31.24668607,17.409299850463867,0.02223600074648857,16.48859977722168,0.002518000081181526,16.090599060058594,0.0023330000694841146
356.95219707,-31.22820578,16.23859977722168,0.002706000115722418,15.983699798583984,0.0015790000325068831,15.900400161743164,0.006194999907165766
356.73900257,-30.99139084,20.87299919128418,0.1482049971818924,20.57069969177246,0.058765001595020294,20.271099090576172,0.0758190006017685
356.74270866,-30.99322254,20.295900344848633,0.066430002450943,20.215200424194336,0.020817000418901443,20.163000106811523,0.13262000679969788
357.14272863,-30.60944571,20.961999893188477,0.16365699470043182,20.411300659179688,0.03081599995493889,20.088600158691406,0.0681689977645874
357.14238385,-30.6080248,21.582500457763672,0.06674599647521973,20.432100296020508,0.00890900008380413,19.810100555419922,0.052632998675107956
357.21118269,-30.61840522,21.867300033569336,0.19257700443267822,20.622499465942383,0.09742700308561325,20.323999404907227,0.06450100243091583
357.20863959,-30.61874708,21.825700759887695,0.18549400568008423,20.757699966430664,0.07146400213241577,20.7362003326416,0.09711399674415588
357.20510878,-30.61923943,19.347900390625,0.02026900090277195,18.160600662231445,0.01017099991440773,17.65250015258789,0.00749799981713295
357.22113151,-30.61399532,20.896400451660156,0.03730800002813339,19.69379997253418,0.01882299967110157,19.23590087890625,0.013496000319719315
357.21330761,-30.62163733,21.811800003051758,0.18170399963855743,20.73509979248047,0.08105000108480453,20.73390007019043,0.04547499865293503
357.24886007,-30.63091624,21.66010093688965,0.16894899308681488,21.07360076904297,0.023818999528884888,20.88680076599121,0.1675270050764084
357.23829345,-30.63717941,21.2367000579834,0.09604299813508987,20.58209991455078,0.056915998458862305,20.389999389648438,0.05328400060534477
